game_id,nickname1,nickname2,time,score1,score2,max1,max2,median1,median2,sum1,sum2,tpr_10_2,tpr_20_2,min_10_2,min_20_2,rating1,rating2
280,BetterBot,Xerxes,900,366,336,65,32,18,17,272,234,2033.1,1830.6,10,20,2070,1884
282,BetterBot,Kovert,1800,507,391,74,65,20,17,412,297,1754,1511.85,10,20,1633,1771
283,BetterBot,PVMG,480,481,446,73,89,17,19,375,361,1927,1705.1,10,20,1901,1922
289,HastyBot,jason141414,1080,444,397,85,59,27,20.5,358,287,1798.6,1816.55,10,20,2174,1957
290,BetterBot,frs,1200,333,489,27,93,18,15,236,396,1679.8,1535.5,10,15,1680,1732
292,STEEBot,sbush,1200,418,405,62,75,21.5,22,309,352,1842.8,1622.8,10,20,1849,1829
294,STEEBot,NatthanonL,1200,392,411,71,66,24,20,311,304,2222,1980,10,20,2143,2010
301,BetterBot,arjun15,1200,398,446,72,81,12,13,309,346,1717.5,1618.95,10,20,2015,1812
302,STEEBot,Lola,1500,533,319,76,79,29,16.5,418,244,1825.7,1662.85,6,6,2124,1900
304,STEEBot,saint,1200,387,354,57,72,21,10,290,260,2169.4,1822.2,10,20,1920,1982
306,STEEBot,Rexington,1200,393,430,60,70,17.5,24.5,308,355,2245.1,1987.7,10,20,2016,2088
308,HastyBot,Inandoutworker,3600,389,509,65,82,23,20.5,309,399,2282.6,2038.55,10,20,2206,1530
315,STEEBot,akiff_faleel,1200,419,369,73,65,20.5,23,315,279,1976.4,1841.25,10,20,2135,2035
316,STEEBot,BethMix,1200,498,352,72,64,21,15.5,385,277,1600.7,1514.75,10,20,1845,1608
317,HastyBot,Indominus,1200,405,508,84,63,18,29,309,413,2004,1923.45,10,20,2224,2182
319,STEEBot,shaneabbas,900,513,444,75,76,29,16,406,362,1792.1,1761.45,10,20,2155,1921
321,HastyBot,mytbear,1200,567,372,102,80,25,20,446,293,2142.9,2005.55,10,20,2223,2084
326,STEEBot,RomeoRat,1200,465,356,75,88,19,17,348,284,1579.6,1539.8,3,3,1863,1637
328,HastyBot,NoelL,1200,494,427,72,79,20,24,369,359,2006.8,1901,10,20,2180,2066
336,HastyBot,thraoph,1200,573,322,81,68,28,17,470,236,1910.6,1864.5,10,20,2255,2031
345,HastyBot,Muendo,600,426,325,76,85,22.5,12,332,280,1804.9,1701.35,10,14,2231,1397
348,STEEBot,Anita,1200,426,291,134,62,19,17,343,227,1704.5,1590.65,10,20,1875,1623
349,HastyBot,rak1507,600,459,318,73,72,25,14,365,262,1943.2,1892.65,10,20,2262,2025
352,HastyBot,shcheah,3600,488,368,67,66,29,23,387,280,2182.9,2032.05,10,20,2265,2112
355,STEEBot,Sopejohn,1200,535,287,65,27,27,18,416,212,1949.3,1856.25,10,20,2175,1823
356,STEEBot,Camelngz,1200,418,382,69,70,19,16,309,296,1969.9,1826.9,10,20,2131,1952
357,BetterBot,Kovert,1800,354,330,61,34,16.5,14,270,224,1966.3,1628.75,10,20,1648,1764
358,BetterBot,Gewgaw,600,369,325,66,52,16,16,260,246,1500,1500,1,1,1959,1895
359,HastyBot,joelimus,300,407,341,64,74,29.5,15,314,278,1948.2,1798.25,10,20,2107,2019
360,BetterBot,akiff_faleel,600,329,347,80,65,14,12,240,244,1940.2,1743.1,10,20,1958,2078
362,STEEBot,AWFUL,1080,355,458,60,73,18.5,22.5,264,357,2233.4,1866.7,10,10,2092,2208
363,BetterBot,Kaumadee,1440,462,332,58,80,15,0,341,252,1546.2,1523.1,5,5,2025,1836
368,HastyBot,Dianaros,1200,403,213,51,24,13,7,282,146,1500,1500,1,1,2254,1145
370,BetterBot,Yuki86,900,470,202,62,17,15,7,339,140,1651.8,1651.95,10,20,2015,1262
377,BetterBot,NurdiniDelisha,900,435,313,69,33,13,11,323,244,1672.6,1633.55,10,20,1964,1999
381,STEEBot,BeanzCyclones,1200,531,410,74,87,26,15,410,337,1989.3,1875.4,10,20,2094,1956
390,BetterBot,kar2008,1200,476,473,75,91,20,25.5,374,381,1846.2,1591.1,10,20,1623,1798
391,HastyBot,Rlowengrub,1200,512,167,68,76,24,3,392,187,1623.6,1611,10,20,2032,1253
393,BetterBot,squashy,900,350,502,63,84,15.5,21,260,404,1726.3,1669.75,10,20,1991,1815
394,BetterBot,BeautifulWaste,840,424,337,76,64,20,13,314,255,1733.1,1675.7,10,20,1985,1831
395,STEEBot,shaunthesheep,1200,478,428,66,64,25,16,382,334,1906.1,1816.9,10,20,2123,1943
396,STEEBot,Banman1,1200,425,315,63,58,16,16,320,231,1738.9,1592.45,10,20,1836,1653
399,STEEBot,Goldenlamb,1200,356,450,25,80,20,18.5,249,367,2023.7,1870.9,10,20,2178,2002
411,BetterBot,sassaba,1320,402,300,72,31,15,14,305,206,1413,1456.5,10,11,1644,1446
414,HastyBot,inshal,1200,421,420,78,74,26,23,322,330,2008,1754,10,10,2268,1844
415,STEEBot,Kii,900,574,376,85,88,29,16,461,363,1726.6,1625.85,10,12,2160,1781
417,STEEBot,Goldenlamb,1200,470,460,71,79,21,20,372,370,1966.8,1887.05,10,20,2140,2055
424,BetterBot,TheGidfather,1320,402,351,57,57,12,14,299,264,1567.7,1533.85,10,11,1709,1553
430,STEEBot,SirFink,300,372,336,75,54,20,16.5,283,250,1576.6,1538.3,2,2,1866,1420
431,STEEBot,Sopejohn,1200,451,406,61,66,23,19.5,357,439,2051.7,1894.75,10,20,2152,1833
432,STEEBot,spark1,1500,450,350,73,63,18,14,346,264,1458.8,1467.65,10,20,1865,1606
440,STEEBot,talulah,1200,372,386,36,62,21,16,265,303,1654.1,1531.35,10,20,1837,1579
444,BetterBot,ZeMing,1200,361,445,79,72,16,16,275,343,1782.6,1755.55,10,20,1980,1947
445,BetterBot,MarieDee,1200,441,399,60,69,19,25,330,321,2235.7,1907.75,10,20,1976,2025
447,HastyBot,ccm,1200,490,307,74,41,17.5,15,367,245,2034,1807.6,10,20,1977,1778
448,BetterBot,patricck,3300,323,417,70,68,15,18,234,314,2304,1946.7,10,20,2010,2279
454,BetterBot,davidavid,900,346,392,64,85,12.5,11,261,286,1790.1,1676.55,10,20,1943,1823
455,STEEBot,bbharath,600,460,287,107,65,25,9,351,200,1780,1753.45,10,20,2116,1872
458,STEEBot,saint,1200,428,349,79,61,18.5,19,324,258,1827.6,1637.7,10,20,1843,1944
459,HastyBot,Matt_86,3600,430,359,65,63,20,21,324,276,1831.8,1808.6,10,20,2216,1957
460,STEEBot,Mollygardner,1200,509,372,65,71,28,16.5,414,277,1692.9,1578.3,10,20,1791,1521
471,BetterBot,buksss,2700,424,391,73,66,17,15,315,309,1526.1,1513.05,3,3,2044,1461
474,HastyBot,thisguy,3600,382,496,77,65,16.5,25.5,282,406,1802.1,1679.35,10,20,2084,1832
475,BetterBot,Toronto2,1200,414,255,64,24,17,10.5,307,170,1414.5,1397.3,10,20,1755,1464
484,BetterBot,Matt_86,3600,375,443,55,71,11,15.5,294,336,2185.2,1916.2,10,20,2018,2041
489,BetterBot,Galena,480,385,382,59,73,12,19,286,293,1588.8,1464,10,20,1749,1523
491,STEEBot,pisces223,1200,383,368,65,71,14,13.5,287,276,1679.5,1558.3,10,20,1858,1576
492,HastyBot,bubbat,720,487,313,70,69,18,17,377,233,1664.7,1611.1,10,20,2013,1777
493,HastyBot,rak1507,600,500,348,70,70,20,21,384,304,2129.5,1926.4,10,20,2107,2098
496,STEEBot,talulah,1200,349,389,42,80,17.5,19,253,298,1424.1,1429.35,10,20,1787,1583
497,HastyBot,joelimus,300,552,437,89,77,37,19.5,451,358,2117.9,1893.7,10,20,2116,2009
502,BetterBot,Glilac,1800,336,503,54,71,12,23,231,409,2135,1941,10,20,1944,2014
503,BetterBot,Kovert,1800,335,415,59,66,14,18,247,312,1834.2,1548.85,10,20,1710,1704
506,BetterBot,PENapasa,1200,449,326,65,71,18,14,325,248,1714,1642.8,10,20,1939,1862
507,HastyBot,noahslat,1200,436,448,72,65,25,26.5,355,335,2346,2115.3,10,20,2241,1867
511,STEEBot,UcheVictor,1200,383,518,58,73,21,26,283,438,1977.1,1839.25,10,20,2124,1948
513,BetterBot,kenting,900,353,425,52,72,18,15.5,246,342,1687.5,1593.75,6,6,1955,1966
514,STEEBot,MarvinK,3600,322,467,65,72,16.5,18.5,233,357,1899.3,1667.65,10,14,1846,1746
516,HastyBot,NoelL,1200,491,332,71,60,29.5,14.5,391,243,1892,1824.85,10,20,2214,2067
517,HastyBot,Baphead,1200,454,344,88,65,18,12,351,256,1896.7,1780.85,10,16,2218,1790
529,BetterBot,Goldenwick,1200,353,388,60,68,16,18.5,265,286,1241.5,1253.2,10,20,1686,1350
532,HastyBot,gameatiruth,1200,490,451,66,79,30,24,392,360,2134.2,1817.1,10,10,2224,2163
535,BetterBot,Lydker,1500,375,480,58,72,20,19.5,293,373,1758.8,1514,10,20,1723,1746
536,HastyBot,BethMix,1200,441,164,90,68,22.5,8,355,186,1722.7,1670.65,10,20,2039,1571
540,STEEBot,orlyns,1200,413,321,76,61,20.5,15,323,266,2065.2,1897.45,10,20,2239,2092
543,STEEBot,Anita,1200,389,428,62,70,14,13,298,320,1632.3,1555.35,10,20,1855,1537
545,STEEBot,rak1507,600,469,433,72,108,28,17,377,336,1936.3,1770,10,20,2040,1924
548,BetterBot,Raihan,900,398,247,86,45,12,10,276,230,1612.1,1604.9,10,20,2012,1698
549,BetterBot,pandorable,300,405,303,64,63,18.5,14.5,295,220,1560.5,1521.7,10,20,1895,1649
552,BetterBot,Yasiru,900,345,350,68,72,16,15,247,267,1572.3,1536.15,8,8,1975,2024
553,BetterBot,Lydker,1500,369,408,80,60,16,22.5,269,314,1670.7,1585.35,10,11,1673,1663
554,BetterBot,paterae,2100,338,503,25,75,20,21,238,414,1696.3,1598.15,4,4,1972,2085
561,BetterBot,Knight2014,300,374,274,64,65,18.5,11,298,176,1811.6,1640.7,10,20,1894,1816
562,STEEBot,RKS,900,461,390,64,86,19,19,339,340,1606.7,1553.35,5,5,2131,1719
567,HastyBot,Esan,1200,356,396,37,70,20,14.5,261,303,2219.6,2020.85,10,20,2178,2101
571,STEEBot,Glilac,1800,478,342,82,60,22,15,385,237,1855.9,1843.25,10,20,2096,2012
572,STEEBot,Willeford,1200,430,463,62,84,19,25,333,370,1879.4,1659.5,10,20,1830,1824
576,BetterBot,Swaits,900,429,417,78,56,11,13,329,329,1435.9,1467.95,4,4,1696,1541
582,BetterBot,Goldenwick,1200,358,310,84,67,15,11,260,220,1552.2,1526.1,9,9,1670,1384
586,BetterBot,Kovert,1800,377,400,70,69,11.5,9,298,290,1768.5,1511.75,10,20,1692,1763
587,BetterBot,The_Master,900,469,372,74,35,19,19,374,277,1816,1658,9,9,1948,1916
590,BetterBot,patricck,3300,396,384,67,60,19,24,303,286,2202.4,1885.8,10,20,1977,2183
591,BetterBot,paterae,2100,333,445,74,86,11.5,17,238,351,2181.6,1865.3,10,16,2020,2109
597,BetterBot,Kovert,1800,440,321,71,32,25,19,345,226,1904.6,1585.8,10,20,1683,1714
598,STEEBot,Omoyedivine,1020,462,359,68,79,18,17,355,278,1820.3,1792.95,10,20,2075,2014
603,HastyBot,Stanley,1200,499,495,68,68,29,33,403,398,2144.2,1983.35,10,20,2141,2160
613,BetterBot,Scrabbler17,1200,447,354,79,76,13,13,334,272,1819.3,1683.1,10,15,1966,1801
614,STEEBot,wagyus,1200,423,473,59,64,29,23,341,367,2131.1,1915.25,10,20,2147,2007
615,HastyBot,mytbear,1200,482,442,75,107,29.5,21.5,363,368,2196.2,2032.6,10,20,2279,2068
617,BetterBot,PENapasa,1200,293,408,63,44,10,23,212,298,1809,1654.5,7,7,2010,1824
622,STEEBot,atay8,1200,485,442,63,82,31.5,27,388,351,2275.2,1988.55,10,20,2108,2175
626,STEEBot,MSHS-21KADMUSLEE,1200,331,434,74,75,16,12.5,248,319,1806.2,1770,10,20,2153,1837
632,STEEBot,Abdulmumin,1200,484,387,77,64,23,20,376,307,2078.4,1789.2,8,8,2079,2149
638,HastyBot,saracen256,1200,556,333,75,38,19,20,446,273,1882.1,1856.55,10,20,2268,1873
640,STEEBot,Uzams,1200,320,415,30,77,17.5,14,226,328,1891.1,1784.5,10,20,2118,1782
642,BetterBot,kar2008,1200,388,523,71,80,21.5,26,287,425,1798.2,1561.05,10,20,1696,1794
654,BetterBot,pandorable,300,373,366,56,66,15.5,18,266,284,1886.7,1698.25,10,20,1843,1678
656,HastyBot,Esan,1200,520,474,83,172,27,16,420,382,2089.6,1973.05,10,20,2204,2065
658,BetterBot,PVMG,660,363,376,44,59,11.5,15.5,259,288,1959.1,1771.65,10,20,1954,1959
661,BetterBot,rqts,780,445,292,80,25,14,10,346,202,1689.8,1594.9,4,4,2000,1704
662,BetterBot,Torquayfan2303,1200,438,369,79,68,16,16,329,288,2255.7,1911.6,10,20,1902,2078
664,BetterBot,Yuki86,900,538,205,68,27,19,8,418,131,1598.6,1589.55,10,19,1985,1266
670,STEEBot,talulah,1200,513,343,81,60,18,17,410,252,1799.5,1608.35,10,20,1837,1579
671,BetterBot,rqts,780,447,399,72,59,15,17,358,350,1843.6,1677.2,10,12,1926,1654
677,HastyBot,jesusbeloved,1500,514,390,69,70,19,17,406,306,1703,1601.5,4,4,2230,2019
679,BetterBot,squashy,900,368,349,35,69,17,16,274,253,2005.1,1818.65,10,20,2093,2078
682,STEEBot,Goldenlamb,1200,523,398,81,86,21.5,19,403,326,1998,1875.95,10,20,2164,1942
686,HastyBot,jaundiced,1140,483,415,72,68,29,22,372,337,2040.7,1770.3,10,20,2031,1892
687,HastyBot,Inandoutworker,3600,414,455,78,87,19.5,21,330,345,2038,1836.1,10,20,2184,1507
689,BetterBot,Yuki86,900,433,232,74,18,18,10.5,315,157,1500,1500,1,1,1913,1271
690,HastyBot,Glilac,1800,491,367,71,73,22.5,14,382,284,2025.9,1866.65,10,20,2264,2048
691,STEEBot,YLT,3600,393,369,61,63,17,14.5,309,263,1771.6,1756.15,10,20,2088,1879
692,STEEBot,talulah,1200,378,405,52,80,20,13,282,313,1689.7,1577.6,10,20,1818,1625
696,HastyBot,bonehead,1500,472,420,72,68,24,22.5,380,324,1782.8,1667.15,10,14,1995,1939
697,BetterBot,Goldenwick,1200,406,362,63,34,13,17,326,253,1296,1319,10,20,1659,1347
706,STEEBot,YLT,3600,481,376,71,77,24,21,356,304,2118,1879.3,10,17,2189,1879
707,HastyBot,Matt_86,3600,592,372,87,83,25,21,494,281,1828.1,1812.85,10,20,2187,1957
709,STEEBot,reinked,240,450,440,81,65,27,16,360,335,1931.2,1715.6,10,10,2124,1903
718,STEEBot,talulah,1200,360,470,57,134,18,17,263,377,1550.1,1511.1,10,20,1867,1564
720,HastyBot,noahslat,1200,470,467,83,69,27,21,375,374,1864.2,1827.75,10,20,2283,1900
722,STEEBot,Fassie,1200,484,258,65,34,23,12,374,180,1500,1500,1,1,2120,1597
725,HastyBot,saracen256,1200,458,351,68,68,25,15,352,269,1864.5,1852.2,10,20,2275,1860
726,HastyBot,Esan,1200,514,399,82,70,26,29,412,312,2197.1,2042.65,10,20,2274,2111
727,HastyBot,ccm,1200,477,395,73,71,21,19,366,314,1685.2,1640.65,10,20,1969,1687
731,HastyBot,jaundiced,1140,376,475,68,64,23,24,300,370,1973.6,1715.1,10,20,2065,1899
735,BetterBot,Scrabble_Enjoyer27,1800,552,274,66,55,18,12.5,425,227,1500,1500,1,1,2011,1768
756,BetterBot,CLSmith15,1200,397,349,70,62,14.5,14,297,260,1547.5,1523.75,6,6,1676,1507
757,BetterBot,Anita,1200,397,446,63,77,15,14.5,307,339,1757,1520.75,10,20,1651,1614
758,STEEBot,Anita,1200,310,360,36,61,14.5,9,214,263,1479.2,1438.75,10,20,1884,1522
772,STEEBot,BeanzCyclones,1200,404,442,68,70,23,22,308,348,2271,1989,10,20,2127,1990
773,HastyBot,Puttapong,1200,427,462,69,70,22,29,334,363,2403.3,2065.2,10,18,2298,2081
775,HastyBot,sungoer,2700,468,465,87,72,23.5,20,371,369,1869.1,1730.15,10,20,2041,1798
777,STEEBot,Trayz,1440,370,432,71,70,20,18.5,283,331,2016.5,1880.4,10,20,2099,2001
778,BetterBot,Zynx,780,373,372,48,59,19,17,268,288,1804.2,1672.95,10,20,1996,1872
785,BetterBot,chrisdon8tsalot,360,379,418,66,82,14,16,268,351,1510,1488.55,10,19,1800,1644
789,BetterBot,lsutiger,1200,459,426,71,59,19,22,372,324,1621.6,1560.8,3,3,1679,1752
790,BetterBot,pandorable,300,374,347,63,29,13,16.5,279,252,1629.7,1554.65,10,20,1858,1687
795,STEEBot,MSHS-21LEEJINYIH,1200,511,478,76,78,25,20,407,393,1884.8,1795.55,10,20,2042,1821
796,HastyBot,supriya,1200,427,393,39,74,26,18,314,316,2083.1,1976.8,10,20,2226,2011
798,HastyBot,wagyus,1200,410,409,83,70,21,20,334,296,2071.6,1961.25,10,20,2194,2098
802,BetterBot,squashy,900,477,390,88,73,15.5,11,381,297,2413,2020.7,10,20,1966,2159
803,HastyBot,Nursaidatul,1200,498,242,52,19,18,9.5,379,171,1816.1,1752.35,10,16,2215,1232
805,STEEBot,Goldenlamb,1200,413,480,84,76,19,23,307,396,2142.3,1939.3,10,20,2141,2100
807,HastyBot,sungoer,2700,395,392,52,74,18,18.5,285,313,1813.7,1712.2,10,20,1980,1862
809,STEEBot,UcheVictor,1200,445,360,60,84,23.5,13,332,281,2109.6,1903.5,10,20,2132,1948
810,HastyBot,ji1222,900,398,474,53,56,23.5,33,301,382,2337.8,2097.75,10,20,2222,1712
817,STEEBot,talulah,1200,388,427,36,63,18.5,17,297,328,1576,1538.65,10,20,1884,1579
821,HastyBot,thisguy,3600,516,249,71,46,26,10,405,179,1775.5,1679.25,10,20,1923,1830
822,STEEBot,deathstar,1200,388,294,68,65,19,14,276,215,1669.2,1567.25,10,20,1840,1660
823,STEEBot,Rexington,1200,394,369,60,70,14.5,19.5,303,270,2159.9,1942.35,10,20,2093,2030
825,BetterBot,Kovert,1800,385,426,65,68,14.5,17,286,336,1727.3,1504.1,10,20,1704,1738
827,STEEBot,MSHS-21KADMUSLEE,1200,534,385,73,67,28,19.5,427,303,1791.7,1753.85,10,20,2139,1793
831,STEEBot,UcheVictor,1200,490,422,72,69,15.5,20,394,326,2167.2,1961.75,10,20,2162,1959
832,HastyBot,Okosagah,900,505,420,65,80,25,24,394,336,2217.6,1948.05,10,16,2249,2169
833,HastyBot,Brianm,3600,636,569,109,150,37,30,527,482,2211.8,1911.75,10,20,1948,1600
834,BetterBot,HenryLou,1200,386,383,70,61,14,16,295,285,1617.3,1558.65,4,4,1963,1638
835,STEEBot,kar2008,1200,588,393,148,69,29,15,485,307,1859,1588,10,20,1893,1817
841,BetterBot,ChsrQat,900,397,399,81,83,16,19.5,301,308,1609.4,1446.35,10,20,1711,1628
853,BetterBot,Xerxes,900,358,395,56,61,14,15.5,269,346,1824.1,1716.4,10,20,1934,1841
855,STEEBot,Goldenlamb,1200,443,382,70,64,17,18,339,295,2218.1,1980.55,10,20,2141,2040
856,STEEBot,deathstar,1200,388,345,65,61,14,16,272,270,1606.4,1503.55,10,20,1843,1598
863,STEEBot,Goldenlamb,1200,402,429,55,72,14,18.5,294,349,2094.5,1945.95,10,20,2154,2087
864,BetterBot,Yasiru,900,408,323,74,53,17.5,12,307,227,1523.1,1511.55,3,3,1988,2098
868,HastyBot,Raash,1200,509,326,79,40,17,14,402,245,2173.7,2007.9,10,20,2234,2031
873,HastyBot,royster,1500,523,283,70,59,14,12,415,271,1715.9,1655.5,10,20,2067,1751
875,BetterBot,PVMG,960,369,379,65,75,15,15,267,290,2014.2,1757.1,10,11,2029,2001
882,HastyBot,bubbat,720,538,415,119,115,21,19,425,393,1906.7,1778.55,10,20,2037,1827
